split,target,model,RMSE,MaxErr,t_inf_us,t_curve_ms
extrapolation,CTR,Simple surrogate (poly d4),0.2673932056236846,0.7143632368152357,85.9909996506758,0.0764426498790271
extrapolation,CTR,LEAP w/o residual,0.0145817821150948,0.0331099552191525,19.765502656809986,0.0505429496115539
extrapolation,CTR,RBF interpolation,0.0204932159765516,0.0505134414745299,88.81850226316601,44.2684340501728
extrapolation,CTR,Full LEAP (proposed),0.0145529595569109,0.03307284530735,57.85650864709169,0.0905889501154888
random,CTR,Simple surrogate (poly d4),0.0372100403442003,0.1432267156930535,46.86399915954098,0.0759962997108232
random,CTR,LEAP w/o residual,0.0297512371443307,0.1012590029357168,19.67500429600477,0.0494945503305643
random,CTR,RBF interpolation,0.0003007718532953,0.0099184266774539,86.96499571669847,45.064533650293015
random,CTR,Full LEAP (proposed),0.0187537936385441,0.0601697860842829,57.88699490949512,0.0906958004634361
