split,target,model,RMSE,MaxErr,t_inf_us,t_curve_ms
extrapolation,CTR,Simple surrogate (poly d4),0.3774157178260012,0.8037641375857636,85.85349860368297,0.0756257504690438
extrapolation,CTR,LEAP w/o residual,0.0309695385832968,0.0779860703736577,19.932500435970724,0.0502009999763686
extrapolation,CTR,RBF interpolation,0.0325565786112525,0.0898930898328507,10.232004569843411,2.373413249733858
extrapolation,CTR,Full LEAP (proposed),0.0313031873093862,0.0836260106759911,57.092998758889735,0.0849878502776846
random,CTR,Simple surrogate (poly d4),0.0354696747866995,0.1155817330891336,83.92849849769846,0.0747272999433334
random,CTR,LEAP w/o residual,0.0302975562428616,0.1149818244661672,19.603496184572577,0.0510573503561317
random,CTR,RBF interpolation,0.0072490196532365,0.0265031861609749,10.14300505630672,1.6636514505080413
random,CTR,Full LEAP (proposed),0.0202811284827881,0.0504338840953961,56.823002523742616,0.0877580998349003
