timestamp,x,y,z,vx,vy,vz,roll,pitch,yaw,buoyancy_x,buoyancy_y,buoyancy_z,damping_x,damping_y,damping_z,wave_x,wave_y,wave_z,added_mass_x,added_mass_y,added_mass_z,coriolis_x,coriolis_y,coriolis_z,surface_z,z_over_l,phase_name,robot_type
1781495076.1749504,-8.059785889067593,0.0001453798690069565,0.7821757909853725,4.195714110643713e-05,5.058327859876922e-06,1.2124900742282807e-06,-0.001256402774298939,0.0020728933158109357,-0.0014054757810491607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495077.1251395,-7.653419292183422,0.07726478399234109,0.7823586777791739,0.6663888569037985,-9.574892063090451e-05,-0.038531839358572295,0.02581425254236578,0.012242944229968702,9.601444724571836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495077.9250247,-7.280850408814959,0.13387491893742468,0.7824891451333378,0.5642565972862584,0.0037777132216801623,-0.07320796910200632,0.013747068925017931,0.02281809419444155,8.595949821748547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495078.724986,-6.887669193700867,0.17653771350471084,0.782216275915259,0.8057124090295742,-0.02150692104787668,-0.009703360225138322,0.006937689226569642,-0.002008613717900155,3.382071228220329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495079.3249834,-6.45323716992848,0.19302572364058188,0.7836847513800557,0.6953777828137716,0.10553962629026505,-0.3049101591110514,-0.2875447885211378,0.0837316665050977,0.3509365929566901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495080.3249934,-6.088803281286844,0.15411297521106862,0.7821066818998114,0.5139249639383244,-0.0011450909288815425,-0.005884911028005028,-0.008751125111557463,0.005075911324072912,-11.475528767452976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495081.0250332,-5.7139923763457805,0.07043296118914391,0.7836691192398384,0.5586957137926912,0.033916375686952244,-0.318613926415143,-0.02376386553949652,0.0404702743473933,-13.29514998699409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495081.9750178,-5.348055152616175,-0.029637857498117315,0.7821482858223171,0.46152207298330317,-0.0034374071362686803,-0.006246162652495208,-0.00569186313673259,-0.005201122067293919,-18.29918388282565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495082.4750185,-4.982518391260155,-0.17129106446633027,0.7821256563833062,0.833388298450494,-0.0013563863629476314,-0.0006849840582368843,0.00819707019973523,0.005212767707530703,-20.594717217422374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495083.2252002,-4.610595823730073,-0.29897254104844967,0.7821930171498985,0.13581863123108623,3.241058436538255e-05,-0.006220676686877202,-0.008962026917255504,0.007753768333541381,-23.067484718259276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495084.0750566,-4.27962095697596,-0.5004607971556417,0.7821165011178947,0.7277658957727212,0.001482439512321243,-0.0037428092725697434,-0.002504521174138322,0.003810989486914892,-28.701380525159156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495084.5749831,-3.916861785787814,-0.690157556737245,0.7822749814348685,0.999129857046257,-0.03380175988527581,-0.026538095925447026,-0.021984234524978698,-0.009016915287744339,-25.962979845460314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,SUBMERGED,UGV
1781495085.225047,-3.7661282299332326,-0.8543715387735121,0.7824526840019578,0.7147350155633221,0.03200415103708798,-0.048689279650642334,-0.06179359153334492,0.006357140027816368,30.386770356619238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495085.775001,-3.4298022136459494,-0.635501468621665,0.783172091257271,0.6446694113577541,0.0461284472117611,-0.16557648782775358,0.13166511342185103,-0.026087933349416833,34.396143951953306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495086.625098,-3.134348252341047,-0.4302443237847957,0.7821260398855515,0.4783875676292954,0.0005201503699864551,-0.0007404254373064353,0.00463277041860145,0.008756582020317712,37.72300540554044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495087.5250783,-2.814309264028995,-0.1721029127724999,0.782712697236252,0.378851307757707,0.10960443710762377,-0.10964648730036275,0.0620663033101755,-0.0015654911593590529,28.766100639003533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495088.4250863,-2.453557524672647,-0.02756579746562315,0.7820965994508682,0.5608301849928791,0.02184860635443943,-0.007899624734690705,-0.0069682288904963615,0.008089275638226624,20.555858812835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495088.975083,-2.0791550508070906,0.09654041805845555,0.7845058325144444,0.4846441474864004,-0.01043488524162127,-0.39006679707747133,-0.28156461958057055,0.1405999337463126,17.29572220031942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495090.0750353,-1.6974280161214244,0.17405972257802124,0.7822068731298468,0.5040488915788218,0.00014782677398806482,-0.0011993416907253994,-0.003953106924319015,0.0013675589882282606,10.238599238453752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495090.8750386,-1.2890733081539465,0.2500108801436163,0.7826106569974792,0.5941329248933763,0.0014386500512533276,-0.09343948048704785,0.061883175092668025,-0.0003743185992398356,10.92490761269913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495091.675061,-0.9150960638818799,0.31567197381348533,0.7821453329887292,0.517033279229433,0.0008150738699592361,0.0022664892203453947,-0.0046730534566043576,0.003412103258153335,13.363903370103431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495092.7750423,-0.6449303835807226,0.4912576236865608,0.7821083314840801,0.12233122305305927,0.15248690677235754,0.0036802162624117573,-0.008293029054541172,-0.009590472908384266,-26.369544119713115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495094.8750489,-0.3129867254120146,0.31333494190820255,0.7822228880323508,0.44649409918428173,-0.05248122387147944,-0.010500316483752744,-0.010680686541862265,0.0004836560677267024,-38.29394204583169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,SUBMERGED,UGV
1781495096.975297,-0.19992629856890048,0.17846137025393977,0.7822211206811248,0.019058449658294063,-0.10277782043081049,-0.00881243264744596,-0.01088180195629678,0.001092456358099469,-10.74615972039114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,SUBMERGED,UGV
1781495099.3750432,-0.20308156468141017,0.1473016961548945,0.3729353342232492,0.00019751785032637447,8.06079974150094e-05,-2.822404374079065,-0.0015211134320308455,0.003741087490827557,-3.0486819286460123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495103.5250068,-0.04722544655219191,0.14166010340545654,0.23464323692622108,0.30060139744816017,5.1874105697402584e-05,4.4323287541691414e-05,-1.721519061849003,11.339315732448561,-8.688696568984648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUBMERGED,UGV
1781495105.5249677,0.165161427451905,0.12179771038753856,0.017093840330636375,0.566089333178608,0.19473028824425032,-1.7312133737073996,-6.5713009923248755,18.030711467764345,-8.682004072407231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABOVE,UGV
1781495105.7249532,0.23684411023339288,0.0216739684576334,0.02774321992932149,10.593839706833245,-8.784785600073135,15.139512374251463,-5.966910717019772,17.01953491238771,-8.975749969833688,0.0,0.0,36.004930977205014,-238.1888226888845,242.32555380872043,19245.654581583967,0.0,0.0,0.0,10063.88801609732,7215.212106823834,-23023.25417802113,-96.40970183785183,25.624385159729105,-10.740023040598391,0.0,0.0,ABOVE,UGV
1781495105.825193,0.3269060404537376,-0.5337013261418925,-0.5204127783168309,4.64912203935801,-8.459212734052821,-9.070657623974101,-4.8712925770318884,13.33897507083652,-7.569804061895206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,SUBMERGED,UGV
1781495105.875067,0.3790570605148136,-0.8932558567349268,-0.8758877279697272,5.050826213759801,-9.17172841608637,-8.51343249800503,-0.23721519559384355,15.630735736168505,-7.38971061637177,0.0,0.0,48.357119999999995,-1063.4082555376574,-2747.6065300228515,-2985.509273505834,0.0,0.0,0.0,77.91466992366385,148.24278682755966,-183.37957505911885,-79.29685652040958,-182.56217036799538,198.43316691407117,0.0,0.0,SUBMERGED,UGV
1781495105.9249794,0.31419953041000637,-0.7516657552611984,-0.7797951355816113,-7.290656204780625,0.770594827324032,-16.342194692702293,5.1869116897655285,18.225342475286148,-6.7340778847224065,0.0,0.0,48.357119999999995,-7397.320465606036,-5210.776788714448,16377.738142027316,0.0,0.0,0.0,8675.316560080113,-1411.2530959252585,-22442.288011557397,-408.99330480056057,-28.226766903650237,-283.1882333982188,0.0,0.0,SUBMERGED,UGV
1781495105.975017,0.44074488387100935,-0.8516750944852961,-0.8390527976691289,-9.589379253327207,15.599411228053325,-18.268399447056375,3.047120419010808,12.819824292042483,-8.10734470650497,0.0,0.0,48.357119999999995,-10948.814408960798,-1810.1751846078234,119.27266090189991,0.0,0.0,0.0,9948.864219934556,-6713.658973261008,13561.430267146116,-25.21911818322328,-9.551797361879967,-412.4306510043772,0.0,0.0,SUBMERGED,UGV
1781495106.075041,0.2389186105161209,-0.8733402504782674,-0.8212674350536892,3.0664921710596618,-17.073961911583083,-18.329952472998528,-0.3061490220284168,21.51846592803022,-8.766866564209755,0.0,0.0,48.357119999999995,-4814.244619942884,3340.8043374394833,20099.43599401148,0.0,0.0,0.0,-2859.0659578098725,-13528.973820112715,-22593.052329784496,-184.4171728171114,221.6491004018653,-172.39320155701319,0.0,0.0,SUBMERGED,UGV
1781495106.17501,0.45675844130744975,-0.9175600430050048,-0.9230551892950526,1.5575838528556925,16.67385439059923,-15.459988496234722,-4.470045222526737,10.098968063347657,-11.099555835922867,0.0,0.0,48.357119999999995,338.30891461753254,11322.791999098046,-9332.359469994815,0.0,0.0,0.0,-11280.814130056442,-7398.095151957916,-1213.503432085007,-351.9216145535073,726.9147879379874,741.4454694375777,0.0,0.0,SUBMERGED,UGV
1781495106.3250327,0.3272040138676837,-0.7605513974907278,-0.9262910871896831,-15.454668317082989,0.6692671891489008,-10.227337211657431,3.6166366398556558,12.391405081017394,-13.450346007883065,0.0,0.0,48.357119999999995,10326.145433157842,51.324697635802195,-7088.339995970571,0.0,0.0,0.0,-5027.20810722532,9977.992267380905,-3862.9383536343107,526.0020660496671,324.5957643593483,653.1248915622512,0.0,0.0,SUBMERGED,UGV
1781495106.4756627,0.21526542169303375,-0.8724124387378781,-0.9148618923166931,0.40326526065517454,-16.00511331582431,-8.471986113262718,4.642110572315747,19.774648566186883,-14.775002353168237,0.0,0.0,48.357119999999995,-26.68422147154559,-11046.52673993632,-4979.302867240362,0.0,0.0,0.0,10499.437553747997,6993.890056589303,-6164.134260721972,230.732917971833,-466.17090513368237,696.1146568483988,0.0,0.0,SUBMERGED,UGV
1781495106.5750191,0.3845134623692924,-0.7934171147411611,-0.9774367534076615,-16.29443686392678,4.580879418225727,-0.7346311883241718,-4.740130228308555,9.760521877186173,-16.317415644391396,0.0,0.0,48.357119999999995,-10433.179741436856,-1922.4723773818853,-5331.254207412968,0.0,0.0,0.0,14619.575407394255,-6514.6567420501615,20445.48723108768,-129.9954585420468,158.76237090818174,92.34938522434024,0.0,0.0,SUBMERGED,UGV
1781495106.7251983,0.22535083237936254,-0.8470199208011226,-0.9290900400221263,-1.542444734415381,-16.860677897435142,7.3162750604951095,3.908798334448546,12.233658568855883,-18.463831723196872,0.0,0.0,48.357119999999995,-4661.801447597645,6568.748554136202,-2054.9419257583495,0.0,0.0,0.0,-5900.480628362,-14978.64395028089,22018.50604095227,95.29670067873678,182.86937690778296,153.06722421104257,0.0,0.0,SUBMERGED,UGV
1781495106.8253012,0.41886777828588345,-0.937522248507686,-0.9686280814837273,5.334332655780035,16.748090437284937,13.631945702996905,-7.166090878440515,21.152640753150916,-19.936882883896597,0.0,0.0,48.357119999999995,1440.9930662709114,8249.27896901571,17841.102294940836,0.0,0.0,0.0,-12071.115642321736,-862.231954630548,-8763.185344203159,-283.81582594394945,1153.5004573573995,-690.7539483176631,0.0,0.0,SUBMERGED,UGV
1781495106.9750395,0.3712888160607403,-0.7814192602823518,-0.90941361697174,-17.13894055350976,1.2419885505370818,18.561762731909656,-10.142529424711428,13.036555103204007,-21.59065041333265,0.0,0.0,48.357119999999995,12233.261708931655,-343.56397767970884,21032.082525521433,0.0,0.0,0.0,-7828.227872257119,10635.903012126557,-13813.927557879999,946.496318842913,412.3976151843585,-663.8703925659771,0.0,0.0,SUBMERGED,UGV
1781495107.1249707,0.20385268227985823,-0.8963874675555009,-0.8272621513807212,-0.6102595970291302,-16.068424493076428,17.050090459760057,-2.1629136204514072,7.3479174900182835,-24.048320065096664,0.0,0.0,48.357119999999995,45.47337405962101,-11130.049626297649,18823.201844145664,0.0,0.0,0.0,9370.6326949025,5422.0799669472935,-10103.477330105365,359.0961536206777,-1180.7877830998684,-900.0699541181806,0.0,0.0,SUBMERGED,UGV
1781495107.2250302,0.43763973087604946,-0.8141848856824186,-0.8656171260463689,-13.52226545545851,6.635280223721836,14.771732591428904,-7.625033090586933,18.874173328604616,-24.66607280445842,0.0,0.0,48.357119999999995,-9516.182181411481,-670.5511096273445,-1103.8817176912976,0.0,0.0,0.0,14121.874980168159,-8518.64027304741,-11350.402260753124,-18.048216111843548,-90.61968633621466,127.59869586282841,0.0,0.0,SUBMERGED,UGV
1781495107.325025,0.20418891553098317,-0.9620338768423786,-0.7956641939733461,9.42366321428122,-8.204000017599013,10.774323918240679,-2.15898281401441,7.902932766637761,-26.759136685982053,0.0,0.0,48.357119999999995,-8494.147842197284,7094.755998498435,-15678.5686215475,0.0,0.0,0.0,1888.4580716149194,-15307.083750310749,23698.356624009983,-213.42512831292493,274.896211004525,333.82159844780256,0.0,0.0,SUBMERGED,UGV
1781495107.475047,0.4142506557571887,-0.9880090488824568,-0.8305020993783974,8.559012153221142,15.996757591258575,4.666020497075373,3.033457420027911,12.257913164488157,-28.233088173518485,0.0,0.0,48.357119999999995,2261.0335764145043,5510.488608466727,-18301.917043719775,0.0,0.0,0.0,-13391.116114963905,2080.7175683679798,23054.100107777325,184.8213789430949,150.38928119162458,140.50111887594818,0.0,0.0,SUBMERGED,UGV
1781495107.6250658,0.4466451577620838,-0.8250394456780138,-0.8449263998443537,-15.262019717422385,0.480829241868749,-2.2870743814080337,-3.069242093124074,20.229864423553746,-29.79320012772612,0.0,0.0,48.357119999999995,9945.660389580904,-7006.220243203663,-21750.6845938909,0.0,0.0,0.0,-3819.2645120404572,15050.908007390324,22157.227485933818,624.2644031343284,-522.3443716826214,698.6436390537742,0.0,0.0,SUBMERGED,UGV
1781495107.7249708,0.3477148406564837,-0.9967499893198349,-0.839863489575235,14.149333436343829,13.272272363743172,-6.720213239526032,-1.3567709912398895,8.086050683471205,-31.086915649109905,0.0,0.0,48.357119999999995,788.1722164027008,-10248.828415699676,8027.391148129549,0.0,0.0,0.0,8541.64665365801,4391.774998914751,2881.5494799787284,394.02066478294785,-677.9863371949042,-876.0289123074989,0.0,0.0,SUBMERGED,UGV
1781495109.8282351,0.3175068017934579,-0.9153660150949886,-0.9956721843804852,16.046611235159077,17.139476219569012,-13.027151323481174,-0.8253545879824901,5.250578976481809,-47.06141390596766,0.0,0.0,48.357119999999995,-8530.148465474733,12045.820610028813,-20107.87914823248,0.0,0.0,0.0,1891.9466323843767,-7871.959285704497,23059.274651562864,-536.1962989666728,715.7418709621121,883.0064911586741,0.0,0.0,SUBMERGED,UUV
1781495110.2283046,0.10979381118639037,-0.8795352469357293,-0.928522992673404,1.7354723569907529,5.0015232702895585,-15.564909142995868,-3.1025762487294695,9.029120330178628,-48.30147033748323,0.0,0.0,48.357119999999995,2518.5168514724237,-4451.843873190572,11389.457895842032,0.0,0.0,0.0,6142.814976540668,-3855.3862185400344,-628.8903258768073,586.1425095217301,-788.027715748768,-739.5111614970699,0.0,0.0,SUBMERGED,UUV
1781495110.6783748,0.3825051949198232,-0.8802559401979645,-1.0093282211974666,12.175590472489157,12.72876062585451,1.9214132434589777,-12.39562272010552,18.340680269792426,-47.66301365352297,0.0,0.0,48.357119999999995,6647.666207239801,-5624.589666036447,5159.7721477947325,0.0,0.0,0.0,-14178.086374243918,14083.790713361197,5752.61377034321,-3.745014419150227,107.81668978775372,116.68942022662532,0.0,0.0,SUBMERGED,UUV
1781495111.0783558,0.27729885301229035,-0.8575564878612724,-1.1384883764467395,-3.3760122395049548,-4.765316443469369,18.569786324852302,-11.083881194838442,17.676161011618728,-46.06543038153449,0.0,0.0,48.357119999999995,-11376.25757699016,10497.931965927368,12351.002820852842,0.0,0.0,0.0,6410.530189069578,-4798.1049226612195,-23126.34458143318,-211.91677784101853,-21.461138534969905,-181.61554288824993,0.0,0.0,SUBMERGED,UUV
1781495111.4784276,0.09984324056556328,-0.8731869896195384,-1.1037107334078804,-5.61087526928957,-9.158277872490855,7.298867121385706,-8.749521730611082,16.408960303580482,-43.10467625539386,0.0,0.0,48.357119999999995,5003.970899375238,-2951.4252364214126,-17323.926050465147,0.0,0.0,0.0,5930.948707677166,-7870.115061799104,-30.10063575172694,586.973615952541,-560.4787070553688,429.27580248320885,0.0,0.0,SUBMERGED,UUV
