x,y,z,vehicle_type
-8.064975,-0.070027,0.1763799999999999,UGV
-7.674945285714285,0.0695684285714285,0.1204249523809523,UGV
-7.282074952380952,0.1965541904761904,0.1027918095238094,UGV
-6.891873714285714,0.2391508571428571,0.1025199999999999,UGV
-6.507835999999999,0.1510562857142857,0.1021701904761903,UGV
-6.117244,0.0690288571428571,0.102093238095238,UGV
-5.726222857142857,0.0130637142857143,0.1027357142857142,UGV
-5.338006,-0.0822273333333332,0.1029229999999999,UGV
-4.953747047619047,-0.2573531428571427,0.1022929047619047,UGV
-4.570667428571428,-0.5592022857142855,0.1021961428571428,UGV
-4.188492238095238,-0.6389198095238094,0.1023661904761904,UGV
-3.8058187142857145,-0.5702725714285717,0.1024267619047618,UGV
-3.422247571428572,-0.3992912857142858,0.102303857142857,UGV
-3.037850619047619,-0.2056448095238094,0.1021270952380951,UGV
-2.652741,-0.0728056666666667,0.102383,UGV
-2.255859142857143,0.0108441428571427,0.1023107142857142,UGV
-1.8542166666666668,0.0553612857142856,0.1023790952380951,UGV
-1.4655233333333335,0.0769864285714285,0.1037794761904761,UGV
-1.0725314285714287,0.2881765714285711,0.1028248571428571,UGV
-0.6841434285714278,0.4366629523809521,0.1022713333333332,UGV
-0.2966192380952375,0.4703682857142858,0.1021090952380952,UGV
-0.2966192380952375,0.4703682857142858,0.1021090952380952,UGV
-0.0030911155778894,0.0,0.2985091507537687,UUV
0.5479108190954775,0.0,0.0380771407035175,UUV
1.6239966080402002,0.0,-0.7912726532663321,UUV
2.736272984924625,0.0,-1.441694552763819,UUV
3.844616095477386,0.0,-2.1705321859296487,UUV
4.957243150753772,0.0,-2.789465296482412,UUV
6.066876889447234,0.0,-3.508059517587942,UUV
7.179381582914567,0.0,-4.123821010050251,UUV
8.289093603015063,0.0,-4.841549904522613,UUV
9.401633597989946,0.0,-5.456938859296483,UUV
9.442059532663317,0.0,-5.473757552763815,UUV
10.55466144723618,0.0,-5.723599447236183,UUV
11.725343396984917,0.0,-5.836082798994981,UUV
12.811555306532664,0.0,-5.7961146633165805,UUV
13.95728953768845,0.0,-5.849803125628143,UUV
15.113277638190953,0.0,-5.905265703517583,UUV
16.15782947236181,0.0,-5.8178332964824095,UUV
17.292057391959798,0.0,-5.851809442211062,UUV
18.447500412060293,0.0,-5.906249608040201,UUV
19.491121628140704,0.0,-5.817769763819099,UUV
19.517795487437176,0.0,-5.813184221105523,UUV
20.75260554773868,0.0,-5.314278040201005,UUV
21.874879185929647,0.0,-4.655858879396988,UUV
23.06719670854271,0.0,-3.603656936109115,UUV
24.11653380904521,0.0,-2.6684012060301514,UUV
25.29571812562813,0.0,-1.975628821249104,UUV
26.339935924623123,0.0,-1.4299411105527635,UUV
27.518217080402028,0.0,-1.1068996525484565,UUV
28.56218932160804,0.0,-0.9528407293610912,UUV
30.0,0.0,-0.5,UUV
30.0,0.0,-0.2,UAV
28.689655172413794,0.0,-0.1,UAV
27.379310344827587,0.0,0,UAV
26.06896551724138,0.0,0,UAV
24.758620689655174,0.0,0.1,UAV
23.448275862068964,0.0,0.2,UAV
22.137931034482758,0.0,0.3197090656706669,UAV
20.82758620689655,0.0,0.9079259627671667,UAV
19.517241379310345,0.0,1.2520034067622194,UAV
18.206896551724135,0.0,1.5692738910223958,UAV
16.89655172413793,0.0,1.8574326850622067,UAV
15.586206896551724,0.0,2.1145163663469257,UAV
14.275862068965518,0.0,2.3389258396266346,UAV
12.96551724137931,0.0,2.5294450848659578,UAV
11.655172413793103,0.0,2.6852554139671647,UAV
10.344827586206897,0.0,2.805945069139579,UAV
9.03448275862069,0.0,2.891514050383199,UAV
7.724137931034484,0.0,2.9423741154887035,UAV
6.413793103448274,0.0,2.9593439525538225,UAV
5.103448275862071,0.0,2.943639581613931,UAV
3.793103448275861,0.0,2.8968600979189474,UAV
2.482758620689655,0.0,2.8209689240035987,UAV
1.1724137931034484,0.0,2.718270790353374,UAV
-0.13793103448276156,0.0,2.5913847145468125,UAV
-1.4482758620689644,0.0,2.4432132956689974,UAV
-2.7586206896551673,0.0,2.276908683991139,UAV
-4.068965517241381,0.0,2.0958356248907,UAV
-5.379310344827587,0.0,1.903532010288245,UAV
-6.689655172413794,0.0,1.703667400099412,UAV
-8.0,0.0,1.5000000000000004,UAV
